Working... ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:01
filename,test_name,test_id,issue_severity,issue_confidence,issue_cwe,issue_text,line_number,col_offset,end_col_offset,line_range,more_info
src/circle_of_experts/drive/manager.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,148,27,32,[148],https://bandit.readthedocs.io/en/1.8.3/plugins/b108_hardcoded_tmp_directory.html
src/circle_of_experts/drive/manager.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,252,27,32,[252],https://bandit.readthedocs.io/en/1.8.3/plugins/b108_hardcoded_tmp_directory.html
src/database/init.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,132,53,67,[132],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/database/init.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,233,58,79,[233],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/database/utils.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,116,20,36,[116],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/database/utils.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,251,28,44,[251],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/database/utils.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,345,32,46,[345],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/database/utils.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,507,31,47,[507],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/database/utils.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,525,35,49,[525],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/mcp/devops_servers.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,https://cwe.mitre.org/data/definitions/89.html,Possible SQL injection vector through string-based query construction.,621,21,93,[621],https://bandit.readthedocs.io/en/1.8.3/plugins/b608_hardcoded_sql_expressions.html
src/mcp/storage/cloud_storage_server.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,634,25,30,[634],https://bandit.readthedocs.io/en/1.8.3/plugins/b108_hardcoded_tmp_directory.html
src/mcp/storage/cloud_storage_server.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,https://cwe.mitre.org/data/definitions/377.html,Probable insecure usage of temp file/directory.,640,31,37,[640],https://bandit.readthedocs.io/en/1.8.3/plugins/b108_hardcoded_tmp_directory.html
